"Client Name","ROS Liability","Task Liability"
"William Davenport (MTO)",0.00,0.00
"Developers Test Task",0.00,0.00
"Fusion Engineering Services","3,925.71","3,925.71"
"Brogans Bakery","19,233.09","19,233.09"
"Hildegard Health Ltd",0.00,0.00
"DFX Groundworks",56.19,56.19
"Atlas Audio Visual Ltd",0.00,0.00
"Gerry Connaughton",688.22,688.22
"Marius Farcas",0.00,0.00
"Channelsight Limited",0.00,0.00
"Hairmony Ltd",638.26,638.26
"Haugh Family Butchers Limited",0.00,0.00
"Geraghty Motors","1,330.48","1,330.48"
"Murray Brothers Entertainment Ltd",472.06,472.06
"Croom Electrical Contracting Ltd",0.00,0.00
"Matt Brilly Ltd",0.00,0.00
"Crew Cast & Performers Limited","9,640.82","9,640.82"
"Casserly Engineering Ltd",866.10,866.10
"Aoife O Driscoll Ltd","5,012.88","5,012.88"
"T.K. (Galway Car Sales) Limited",534.24,534.24
"Tiles Bathrooms Wood Flooring Ltd",715.41,715.41
"CMD Construction Ltd","22,921.61","22,921.61"
"Finbar Keaveney Ltd","1,280.54","1,280.54"
"O2L's Ltd",0.00,0.00
"The Window Doctor",966.94,966.94
"Griffin Gaughan Ltd",463.20,463.20
"Daise Business Solutions Limited",20.25,20.25
"Areevay Limited",655.86,655.86
"Noel McWalter Limited","2,829.05","2,829.05"
"Host Boi Energy UK Limited",0.00,0.00
"Sterling Locks Limited","1,307.98","1,307.98"
"Declan Keane Limited","2,174.67","2,174.67"
"Italian Life Style",0.00,0.00
"QuicklyT Galway Ltd",941.50,941.50
"James O Toole Motors Limited",929.64,929.64
"Errigal Transport Limited",0.00,0.00
"T.S.S. Body Builders Limited","1,190.60","1,190.60"
"Sacra Donnellan",0.00,0.00
"AK Transport Limited",0.00,0.00
"Green Olive Catering",0.00,0.00
"Chelgar Limited",0.00,0.00
"Cloverleaf Cottages Limited","2,327.74","2,327.74"
"Mac Giollarnaith Limited","1,534.51","1,534.51"
"EZ Stock Control Limited",841.18,841.18
"SMD Cad Design Services Ltd",686.93,686.93
"Actio Animus Limited",41.67,41.67
"O Boyle Electrical Contracting Limited",701.12,701.12
"Alex & Alex Lifestyle Ltd",0.00,0.00
"Brannelly Logistics Limited",0.00,0.00
"Whyte Refrigration Limited",0.00,0.00
"Mark Dwyer Limited",876.58,876.58
"Vandieken Limited",340.95,340.95
"Secure 4U Fire & Security Limited","1,505.50","1,505.50"
"Lofbergs UK Limited",619.41,619.41
"Mitamirri Limited","8,917.35","8,917.35"
"Expeditions, Adventures and Safaris Ltd","1,519.20","1,519.20"
"Link Digital Innovations Limited","1,804.46","1,804.46"
"Agri-Plastics (GrassieCreva) International Limited",0.00,0.00
"Darragh Daly Limited",260.21,260.21
"Matthew Haverty Limited",388.54,388.54
"TestState Limited","13,720.89","13,720.89"
"Dobrila Marius Electrical Contracting Ltd",0.00,0.00
"Kilbane & Fahy Floor Screed Limited",307.06,307.06
"TCM Solutions Limited",0.00,0.00
"The Nogra Development Company Limited",0.00,0.00
"Aspley Group International",0.00,0.00
"Minerva I Am Ltd",0.00,0.00
"Lulu's Local Produce Limited",0.00,0.00
"Melonex Consultants Limited",427.79,427.79
"Jens Kosak Design Limited",147.06,147.06
"Doolin Brewing Company Ltd",0.00,0.00
"Easytex Aluminium",668.57,572.17
"Aqood Limited",0.00,0.00
"Molanic Ltd",0.00,0.00
"Fitz-Hay Electrical Contracting Limited","9,155.93","9,155.93"
"Virtual Reality World",611.71,611.71
"Dominic-Markus Forestry Services Ltd","6,063.67","6,063.67"
"SKElect Limited","3,737.62","3,737.62"
"Bloom Force Limited",347.58,347.58
"Innovative SMT Limited","1,296.74","1,296.74"
"Ryantown Toys & Gifts","1,139.63","1,139.63"
"Corley Software Solutions Ltd","1,979.31","1,979.31"
"HJ Langdon & Co UK Ltd","2,159.24","2,159.24"
"BIA Innvator Campus Company Ltd",0.00,0.00
"Neil Devane Electrical Ltd",322.70,322.70
"Declan Roche Plant Hire Limited","4,016.69","4,016.69"
"Officeline Procuts PTY Ltd","2,802.43","2,802.43"
"RK Surveys Limited",670.46,670.46
"Carrkey Limited","5,858.79","5,858.79"
"Hey Car / Mobility Trader GMBH",0.00,0.00
"Digital Bainisteoir na Gaillimhe Teoranta",901.52,901.52
"Gannon Mechanical",333.70,333.70
"Richard McWalter","3,190.93","3,190.93"
"Roots Claregalway","3,453.66","3,453.66"
"My Fest App Limited","1,985.56","1,985.56"
"Ballinasloe Credit Union Ltd","18,295.76","18,295.76"
"O Connor Group Limited","5,349.76","5,349.76"
"Kquram Limited (Breege O Connor)",247.81,247.81
"Derek Regan",315.52,315.52
"RilMedia Teo",0.00,0.00
"Sean Maloney & Associates","1,461.16","1,461.16"
"Laser Vision Correction Limited",0.00,0.00
"Inspire Control Ltd","17,632.61","17,632.61"
"Premier Tax Free (Planet Payment)","1,810.95","1,810.95"
"AAAMber Motors Limited",22.36,22.36
"Patrick Brannelly",0.00,0.00
"Sean Maloney (Farm)",75.71,75.71
"John Killilea",128.25,128.25
"Derek McDonagh",0.00,0.00
"Brenda Ryan",13.62,13.62
"Green Olive Catering",0.00,0.00
"Philip Delaney",0.00,0.00
"David Harty",0.00,0.00
"Secure 4U Fire & Security Limited",0.00,0.00
"Trevor McDonnagh",309.10,309.10
"Catherine Sullivan",0.00,0.00
"Kwong Yan Lee (Jason Lee)",150.97,150.97
"Gearoid Connaughton",556.69,556.69
"Alan Croke Transport",110.21,110.21
"Einne Naughton",0.00,0.00
"Donnellan Auto / Western Autostop Ltd","7,085.87","7,085.87"
"Connaught Printed Labels Ltd",13.19,13.19
"City Villa Galway Ltd",60.70,60.70
"Curragh (Construction/Electric) Ltd",0.00,0.00
"A.H. Drives & Controls Ltd","1,104.81","1,104.81"
"French & Vanoli Ltd","2,103.79","2,103.79"
"Curragh Construction Ltd",688.31,688.31
"Instinctive Cleaning Ltd",0.00,0.00
"Gerry McInerney Sports Ltd",0.00,0.00
"MoyLette IT Services Ltd","3,534.29","3,534.29"
"Tommy Ellis Painting & Decorating Ltd","1,154.26","1,154.26"
"JPK Technical Solutions",0.00,0.00
"Armour Interactive Ltd","10,776.01","10,775.41"
"Weather Warm Insulation Ltd",734.16,734.16
"One Stop Marketing Ltd",0.00,0.00
"Steve Moylan Ltd",0.00,0.00
"Aidan Morrissey Ltd","2,157.69","2,157.69"
"Johnny Kenny Electrical Services","2,201.74","2,201.74"
"Cloonasee Ltd","1,096.88","1,096.88"
"Creva Agri International","3,838.17","3,838.17"
"ODM Energy Ltd","2,852.98","2,852.98"
"Candlestick Consultancy Limited",0.00,0.00
"The Professional Training Academy Ltd",692.76,692.76
"Streamline Data Ltd","1,253.84","1,253.84"
"Kinvara Auto Repair Ltd","1,356.48","1,356.48"
"BM Air Conditioning Ltd","1,540.35","1,540.35"
"Stockshop UK Limited",905.13,905.13
"THK Uk","2,235.72","2,235.72"
"Just Art It",89.50,89.50
"America Village Apothcare Limited",95.01,95.01
"Team Motor Limited",183.39,183.39
