"Client Name","ROS Liability","Task Liability"
"William Davenport (MTO)","1,208.00","1,208.00"
"Developers Test Task","2,504.00","2,504.00"
"Fusion Engineering Services",916.51,916.51
"Brogans Bakery",350.13,350.13
"Hildegard Health Ltd",0.00,0.00
"DFX Groundworks",0.00,0.00
"Atlas Audio Visual Ltd",0.00,0.00
"Gerry Connaughton",0.00,0.00
"Marius Farcas",0.00,0.00
"Channelsight Limited",0.00,0.00
"Hairmony Ltd",0.00,0.00
"Haugh Family Butchers Limited",0.00,0.00
"Geraghty Motors",0.00,0.00
"Murray Brothers Entertainment Ltd",0.00,0.00
"Croom Electrical Contracting Ltd",0.00,0.00
"Matt Brilly Ltd",0.00,0.00
"Crew Cast & Performers Limited",0.00,0.00
"Casserly Engineering Ltd",0.00,0.00
"Aoife O Driscoll Ltd",0.00,0.00
"T.K. (Galway Car Sales) Limited",0.00,0.00
"Tiles Bathrooms Wood Flooring Ltd",0.00,0.00
"CMD Construction Ltd",0.00,0.00
"Finbar Keaveney Ltd",0.00,0.00
"O2L's Ltd",0.00,0.00
"The Window Doctor",0.00,0.00
"Griffin Gaughan Ltd",0.00,0.00
"Daise Business Solutions Limited",0.00,0.00
"Areevay Limited",0.00,0.00
"Noel McWalter Limited",0.00,0.00
"Host Boi Energy UK Limited",0.00,0.00
"Sterling Locks Limited",0.00,0.00
"Declan Keane Limited",0.00,0.00
"Italian Life Style",0.00,0.00
"QuicklyT Galway Ltd",0.00,0.00
"James O Toole Motors Limited",0.00,0.00
"Errigal Transport Limited",0.00,0.00
"T.S.S. Body Builders Limited",0.00,0.00
"Sacra Donnellan",0.00,0.00
"AK Transport Limited",0.00,0.00
"Green Olive Catering",0.00,0.00
"Chelgar Limited",0.00,0.00
"Cloverleaf Cottages Limited",0.00,0.00
"Mac Giollarnaith Limited",0.00,0.00
"EZ Stock Control Limited",0.00,0.00
"SMD Cad Design Services Ltd",0.00,0.00
"Actio Animus Limited",0.00,0.00
"O Boyle Electrical Contracting Limited",0.00,0.00
"Alex & Alex Lifestyle Ltd",0.00,0.00
"Brannelly Logistics Limited",0.00,0.00
"Whyte Refrigration Limited",0.00,0.00
"Mark Dwyer Limited",0.00,0.00
"Vandieken Limited",0.00,0.00
"Secure 4U Fire & Security Limited",0.00,0.00
"Lofbergs UK Limited",0.00,0.00
"Mitamirri Limited",0.00,0.00
"Expeditions, Adventures and Safaris Ltd",0.00,0.00
"Link Digital Innovations Limited",0.00,0.00
