Date,Debit Nominal,Credit Nominal,Client Code,Comment,Amount
04/01/2021,771,712,GBS164,,214.17
04/01/2021,771,813A,GBS404,501143,300
04/01/2021,771,712,GBS472,,369
04/01/2021,771,712,GBS518,,713.9
05/01/2021,771,712,GBS113,,178.5
05/01/2021,771,712,GBS319,,555.04
06/01/2021,771,712,GBS041,,"1,000.00"
06/01/2021,771,712,GBS156,,729.37
06/01/2021,771,712,GBS164,,217.8
06/01/2021,771,712,GBS406,,48.4
06/01/2021,771,712,GBS406,,383.76
06/01/2021,771,712,GBS419,,40
06/01/2021,771,712,GBS419,,221.4
06/01/2021,771,712,GBS467,,955
07/01/2021,771,712,GBS006,,250
07/01/2021,771,712,GBS015,,187.55
07/01/2021,771,712,GBS156,,40
07/01/2021,771,712,GBS268,,225.52
07/01/2021,771,712,GBS318,,48.4
07/01/2021,771,712,GBS392,,266.2
07/01/2021,771,712,GBS517,,48.4
07/01/2021,771,712,GBS517,,290.4
07/01/2021,771,712,GBS517,,"1,008.60"
08/01/2021,771,712,GBS006,,250
08/01/2021,771,712,GBS436,,"5,768.07"
08/01/2021,771,712,GBS489,,48.4
08/01/2021,771,712,GBS489,,221.4
08/01/2021,771,712,GBS489,,290.4
08/01/2021,771,712,GBS493,,48.4
08/01/2021,771,712,GBS524,,951.6
11/01/2021,771,712,GBS004,,290.4
11/01/2021,771,712,GBS042,,411.4
11/01/2021,771,712,GBS095,,48.4
11/01/2021,771,712,GBS164,,48.4
11/01/2021,771,712,GBS218,,508.2
11/01/2021,771,712,GBS276,,"1,736.35"
11/01/2021,771,712,GBS276,,48.4
11/01/2021,771,712,GBS276,,177.12
11/01/2021,771,712,GBS318,,177.12
11/01/2021,771,712,GBS387,,48.4
11/01/2021,771,712,GBS387,,787.2
11/01/2021,771,813A,GBS404,501143,300
11/01/2021,771,712,GBS439,,511.68
11/01/2021,771,712,GBS543,,48.4
11/01/2021,771,712,GBS544,,590.4
11/01/2021,771,712,GBS544,,48.4
11/01/2021,771,712,GBS552,,750.2
12/01/2021,771,712,GBS014,,"1,148.67"
12/01/2021,771,712,GBS016,,48.4
12/01/2021,771,712,GBS057,,678.54
12/01/2021,771,712,GBS066,,600
12/01/2021,771,712,GBS088,,290.4
12/01/2021,771,712,GBS143,,400
12/01/2021,771,712,GBS158,,48.4
12/01/2021,771,712,GBS196,,48.4
12/01/2021,771,712,GBS196,,118.08
12/01/2021,771,813A,GBS413,501142,"2,180.42"
12/01/2021,771,712,GBS451,,48.4
12/01/2021,771,712,GBS535,,"12,100.00"
13/01/2021,771,712,GBS018,,409.85
13/01/2021,771,712,GBS035,,"1,064.80"
13/01/2021,771,712,GBS043,,"1,464.10"
13/01/2021,771,712,GBS050,,"3,433.00"
13/01/2021,771,712,GBS099,,48.4
13/01/2021,771,712,GBS189,,100
13/01/2021,771,712,GBS212,,300
13/01/2021,771,712,GBS368,,515.92
13/01/2021,771,712,GBS414,,467.52
13/01/2021,771,813A,GBS430,,"3,123.06"
13/01/2021,771,712,GBS468,,48.4
13/01/2021,771,712,GBS520,,602.7
13/01/2021,771,712,GBS520,,48.4
14/01/2021,771,813A,GBS006,To MB 28/01,"2,650.50"
14/01/2021,771,813A,GBS006,To MB 08/02,"2,722.57"
14/01/2021,771,712,GBS323,,266.2
14/01/2021,771,712,GBS433,,"3,550.05"
14/01/2021,771,712,GBS454,,"5,533.00"
14/01/2021,771,712,GBS471,,"4,435.60"
15/01/2021,771,712,GBS004,,363.2
15/01/2021,771,712,GBS006,,250
15/01/2021,771,712,GBS017,,180
15/01/2021,771,712,GBS029,,"1,000.00"
15/01/2021,771,712,GBS319,,280.97
15/01/2021,771,712,GBS390,,48.4
15/01/2021,771,813A,GBS430,501141,"3,157.83"
15/01/2021,771,712,GBS452,,290
15/01/2021,771,712,GBS452,,222
18/01/2021,771,712,GBS007,,298.4
18/01/2021,771,712,GBS070,,130
