Inv No,Gross
17141," 1,303.80 "
17142, 450.00 
17143, 332.10 
17144, 73.80 
17145, 110.70 
17146, 24.60 
17147, 24.60 
17149, 36.90 
17150, 49.20 
17151, 55.35 
17152, 190.65 
17153, 36.90 
17154, 55.35 
17155, 79.95 
17156, 104.55 
17157, 24.60 
17159, 30.75 
17160,"-2,142.00 "
17161, 221.40 
17164,-177.12 
17166, 383.76 
17168, 36.90 
17169, 36.90 
17171, 323.49 
17177," 1,321.89 "
17179," 1,852.38 "
17180, 910.20 
17181, 221.40 
17184, 359.78 
17189, 135.30 
17192, 437.27 
17193," 1,414.50 "
17195, 196.80 
17196, 200.00 
17197, 591.63 
17198, 221.40 
17201, 971.70 
17202, 602.70 
17203," 1,420.65 "
17204,-1.23 
17205, 98.40 
17207,"-1,850.00 "
17208, 180.00 
17213," 1,463.70 "
17214," 1,143.90 "
17215, 221.40 
17219, 221.40 
17220, 36.90 
17222, 947.10 
17224, 344.40 
17225,-36.90 
17226,"-1,008.60 "
17227,-36.90 
17228, 602.70 
17229,-36.90 
17230, 479.70 
17232,"-1,722.00 "
17233, 98.40 
17234, 36.90 
17236, 221.40 
17237," 1,740.45 "
17238," 1,648.20 "
17239, 98.40 
17240, 295.20 
17241, 196.80 
17242, 602.70 
17243," 1,783.50 "
17244," 2,558.40 "
17246, 591.63 
17247, 602.70 
17248," 1,156.20 "
17250, 73.80 
17251,"-1,937.37 "
17254," 2,853.60 "
17258,-177.12 
17259, 725.70 
17260," 1,033.20 "
17261," 1,088.55 "
17263, 190.65 
17264, 329.64 
17265, 338.25 
17266, 319.80 
17267, 276.75 
17268, 215.25 
17270, 645.95 
17271, 252.15 
17272, 239.85 
17274, 332.10 
17275, 209.10 
17276, 246.00 
17277, 221.40 
17279, 671.58 
17280,"-3,448.92 "
17281,-200.00 
17282, 511.99 
17283,-6.35 
17286, 774.90 
17289, 221.40 
17290," 2,078.70 "
17291," 1,832.70 "
17292, 254.61 
17295, 28.29 
17296, 738.00 
17297, 793.35 
17298, 602.70 
17299, 600.00 
17300, 241.00 
17301,"-3,271.80 "
17303, 911.43 
17304," 1,162.35 "
17305, 602.70 
17306,"-4,557.15 "
17311, 221.40 
17312, 370.85 
17313, 98.40 
17314, 98.40 
17315, 221.40 
17316, 98.40 
17317, 295.20 
17318,"-7,290.59 "
17319," 7,290.59 "
17320,"-3,244.13 "
17322," 1,832.70 "
17324, 69.50 
17325,-295.20 
17326,-214.02 
17329, 180.00 
17330, 98.40 
17332, 98.40 
17334, 98.40 
17336, 98.40 
17337, 98.40 
17340, 98.40 
17341, 971.70 
17342, 594.09 
17343, 848.70 
17344, 885.60 
17345," 1,275.20 "
17346, 602.70 
17347, 98.40 
17348, 369.00 
17350,-147.60 
17352,"-2,090.59 "
17353, 277.67 
17354," 1,574.40 "
17356, 996.30 
17357, 971.70 
17358, 602.70 
17361, 73.80 
17362," 2,337.00 "
17366, 848.70 
17368," 1,162.35 "
17370," 1,722.00 "
17373, 123.00 
17374, 123.00 
17375," 19,064.80 "
17376,-200.00 
17377,-278.00 
17380, 83.95 
17385, 221.40 
17391, 190.65 
17393, 338.25 
17394, 319.80 
17398, 645.95 
17403, 209.10 
17404, 913.28 
17405, 442.80 
17406, 73.80 
17416, 750.00 
17417, 602.70 
17420," 4,059.00 "
17423,-157.54 
17424, 172.20 
17429," 3,780.04 "
17430, 688.80 
17432," 2,062.00 "
17433, 418.20 
17436, 335.18 
17437, 98.40 
17438, 76.73 
17441, 553.50 
17442, 590.40 
17445, 704.00 
17446, 250.00 
17460,-516.60 
17461,-516.60 
17467, 319.80 
17476, 516.60 
17478, 159.68 
17498,-383.76 
