Inv No,Gross,Date
17141,"1,303.80",7/9/2020
17142,450,7/10/2020
17143,332.1,7/11/2020
17144,73.8,7/12/2020
17145,110.7,7/13/2020
17146,24.6,7/14/2020
17147,24.6,7/15/2020
17149,36.9,7/16/2020
17150,49.2,7/17/2020
17151,55.35,7/18/2020
17152,190.65,7/19/2020
17153,36.9,7/20/2020
17154,55.35,7/21/2020
17155,79.95,7/22/2020
17156,104.55,7/23/2020
17157,24.6,7/24/2020
17159,30.75,7/25/2020
17160,"-2,142.00",7/26/2020
17161,221.4,7/27/2020
17164,-177.12,7/28/2020
17166,383.76,7/29/2020
17168,36.9,7/30/2020
17169,36.9,7/31/2020
17171,323.49,8/1/2020
17177,"1,321.89",8/2/2020
17179,"1,852.38",8/3/2020
17180,910.2,8/4/2020
17181,221.4,8/5/2020
17184,359.78,8/6/2020
17189,135.3,8/7/2020
17192,437.27,8/8/2020
17193,"1,414.50",8/9/2020
17195,196.8,8/10/2020
17196,200,8/11/2020
17197,591.63,8/12/2020
17198,221.4,8/13/2020
17201,971.7,8/14/2020
17202,602.7,8/15/2020
17203,"1,420.65",8/16/2020
17204,-1.23,8/17/2020
17205,98.4,8/18/2020
17207,"-1,850.00",8/19/2020
17208,180,8/20/2020
17213,"1,463.70",8/21/2020
17214,"1,143.90",8/22/2020
17215,221.4,8/23/2020
17219,221.4,8/24/2020
17220,36.9,8/25/2020
17222,947.1,8/26/2020
17224,344.4,8/27/2020
17225,-36.9,8/28/2020
17226,"-1,008.60",8/29/2020
17227,-36.9,8/30/2020
17228,602.7,8/31/2020
17229,-36.9,9/1/2020
17230,479.7,9/2/2020
17232,"-1,722.00",9/3/2020
17233,98.4,9/4/2020
17234,36.9,9/5/2020
17236,221.4,9/6/2020
17237,"1,740.45",9/7/2020
17238,"1,648.20",9/8/2020
17239,98.4,9/9/2020
17240,295.2,9/10/2020
17241,196.8,9/11/2020
17242,602.7,9/12/2020
17243,"1,783.50",9/13/2020
17244,"2,558.40",9/14/2020
17246,591.63,9/15/2020
17247,602.7,9/16/2020
17248,"1,156.20",9/17/2020
17250,73.8,9/18/2020
17251,"-1,937.37",9/19/2020
17254,"2,853.60",9/20/2020
17258,-177.12,9/21/2020
17259,725.7,9/22/2020
17260,"1,033.20",9/23/2020
17261,"1,088.55",9/24/2020
17263,190.65,9/25/2020
17264,329.64,9/26/2020
17265,338.25,9/27/2020
17266,319.8,9/28/2020
17267,276.75,9/29/2020
17268,215.25,9/30/2020
17270,645.95,10/1/2020
17271,252.15,10/2/2020
17272,239.85,10/3/2020
17274,332.1,10/4/2020
17275,209.1,10/5/2020
17276,246,10/6/2020
17277,221.4,10/7/2020
17279,671.58,10/8/2020
17280,"-3,448.92",10/9/2020
17281,-200,10/10/2020
17282,511.99,10/11/2020
17283,-6.35,10/12/2020
17286,774.9,10/13/2020
17289,221.4,10/14/2020
17290,"2,078.70",10/15/2020
17291,"1,832.70",10/16/2020
17292,254.61,10/17/2020
17295,28.29,10/18/2020
17296,738,10/19/2020
17297,793.35,10/20/2020
17298,602.7,10/21/2020
17299,600,10/22/2020
17300,241,10/23/2020
17301,"-3,271.80",10/24/2020
17303,911.43,10/25/2020
17304,"1,162.35",10/26/2020
17305,602.7,10/27/2020
17306,"-4,557.15",10/28/2020
17311,221.4,10/29/2020
17312,370.85,10/30/2020
17313,98.4,10/31/2020
17314,98.4,11/1/2020
17315,221.4,11/2/2020
17316,98.4,11/3/2020
17317,295.2,11/4/2020
17318,"-7,290.59",11/5/2020
17319,"7,290.59",11/6/2020
17320,"-3,244.13",11/7/2020
17322,"1,832.70",11/8/2020
17324,69.5,11/9/2020
17325,-295.2,11/10/2020
17326,-214.02,11/11/2020
17329,180,11/12/2020
17330,98.4,11/13/2020
17332,98.4,11/14/2020
17334,98.4,11/15/2020
17336,98.4,11/16/2020
17337,98.4,11/17/2020
17340,98.4,11/18/2020
17341,971.7,11/19/2020
17342,594.09,11/20/2020
17343,848.7,11/21/2020
17344,885.6,11/22/2020
17345,"1,275.20",11/23/2020
17346,602.7,11/24/2020
17347,98.4,11/25/2020
17348,369,11/26/2020
17350,-147.6,11/27/2020
17352,"-2,090.59",11/28/2020
17353,277.67,11/29/2020
17354,"1,574.40",11/30/2020
17356,996.3,12/1/2020
17357,971.7,12/2/2020
17358,602.7,12/3/2020
17361,73.8,12/4/2020
17362,"2,337.00",12/5/2020
17366,848.7,12/6/2020
17368,"1,162.35",12/7/2020
17370,"1,722.00",12/8/2020
17373,123,12/9/2020
17374,123,12/10/2020
17375,"19,064.80",12/11/2020
17376,-200,12/12/2020
17377,-278,12/13/2020
17380,83.95,12/14/2020
17385,221.4,12/15/2020
17391,190.65,12/16/2020
17393,338.25,12/17/2020
17394,319.8,12/18/2020
17398,645.95,12/19/2020
17403,209.1,12/20/2020
17404,913.28,12/21/2020
17405,442.8,12/22/2020
17406,73.8,12/23/2020
17416,750,12/24/2020
17417,602.7,12/25/2020
17420,"4,059.00",12/26/2020
17423,-157.54,12/27/2020
17424,172.2,12/28/2020
17429,"3,780.04",12/29/2020
17430,688.8,12/30/2020
17432,"2,062.00",12/31/2020
17433,418.2,1/1/2021
17436,335.18,1/2/2021
17437,98.4,1/3/2021
17438,76.73,1/4/2021
17441,553.5,1/5/2021
17442,590.4,1/6/2021
17445,704,1/7/2021
17446,250,1/8/2021
17460,-516.6,1/9/2021
17461,-516.6,1/10/2021
17467,319.8,1/11/2021
17476,516.6,1/12/2021
17478,159.68,1/13/2021
17498,-383.76,1/14/2021
