Inv No,Gross,Date
16673,4.9,11/7/2019
15537,6.14,15-10-2018
16532,10.88,28-02-2019
15859,12.3,4/1/2019
15871,12.3,4/1/2019
16743,18.82,1/7/2019
15817,21.76,4/1/2019
16384,22.14,12/5/2019
16226,22.14,12/5/2019
14936,24.6,2/1/2018
16375,24.6,2/1/2018
14426,24.6,29-06-2017
14450,24.6,29-06-2017
14491,24.6,29-06-2017
14865,24.6,2/1/2018
14889,24.6,2/1/2018
14930,24.6,2/1/2018
14939,24.6,2/1/2018
14997,24.6,25-01-2018
14868,24.6,2/1/2018
14914,24.6,2/1/2018
15483,28.1,1/9/2018
15794,36.9,4/1/2019
15835,36.9,4/1/2019
15875,36.9,4/1/2019
15978,36.9,21-01-2019
15776,36.9,4/1/2019
15799,36.9,4/1/2019
15876,36.9,4/1/2019
15805,36.9,4/1/2019
15812,36.9,4/1/2019
15831,36.9,4/1/2019
16317,49.2,1/7/2019
16806,49.2,31-10-2019
16410,50,1/9/2019
14164,53,24-01-2017
15009,61.5,5/2/2018
16278,73.8,21-06-2019
16788,73.8,2/10/2019
14996,73.8,25-01-2018
15270,73.8,30-06-2018
14972,73.8,10/1/2018
15671,83,11/12/2018
15411,98.4,20-07-2018
16371,98.4,12/8/2019
16770,98.4,6/12/2019
16564,98.4,10/10/2019
16748,98.4,28-11-2019
15346,98.4,20-07-2018
15376,98.4,20-07-2018
15675,98.4,11/12/2018
15679,98.4,11/12/2018
15310,98.4,20-07-2018
16512,98.4,16-09-2019
15057,110.68,28-02-2018
16081,123,9/3/2019
16308,125.8,1/7/2019
16180,146.36,1/5/2019
16388,147.6,1/9/2019
16390,147.6,1/9/2019
16391,147.6,1/9/2019
16394,147.6,1/9/2019
16399,147.6,1/9/2019
16403,147.6,1/9/2019
16404,147.6,1/9/2019
16408,147.6,1/9/2019
16414,147.6,1/9/2019
16415,147.6,1/9/2019
16423,147.6,1/9/2019
16431,147.6,1/9/2019
16434,147.6,1/9/2019
16440,147.6,1/9/2019
16445,147.6,1/9/2019
16447,147.6,1/9/2019
16450,147.6,1/9/2019
16454,147.6,1/9/2019
16457,147.6,1/9/2019
16464,147.6,1/9/2019
16466,147.6,1/9/2019
16596,147.6,30-10-2019
16422,147.6,1/9/2019
16437,147.6,1/9/2019
16468,147.6,1/9/2019
16469,147.6,1/9/2019
13786,147.6,27-04-2016
16386,147.6,1/9/2019
16396,147.6,1/9/2019
16405,147.6,1/9/2019
16429,147.6,1/9/2019
16459,147.6,1/9/2019
16435,147.6,1/9/2019
16453,147.6,1/9/2019
16465,147.6,1/9/2019
16354,153.75,1/7/2019
15136,164.15,29-01-2018
13941,166.05,19-09-2016
14049,166.05,19-11-2016
14679,172.2,8/10/2017
15555,172.2,26-10-2018
13354,172.63,2/4/2015
14754,173.26,13-11-2017
16135,175,10/4/2019
15933,177.12,4/1/2019
15951,177.12,4/1/2019
15959,177.12,4/1/2019
16644,178.35,1/11/2019
15219,180,29-05-2018
15701,180,14-11-2018
16110,184,31-01-2019
16546,184.5,4/10/2019
16547,184.5,4/10/2019
16628,184.5,11/11/2019
16639,184.5,1/11/2019
16008,184.5,13-02-2019
16593,184.5,30-10-2019
15198,186.55,1/3/2018
15199,186.55,1/5/2018
15294,186.55,1/7/2018
15477,186.55,1/9/2018
15563,186.55,1/11/2018
15716,186.55,4/1/2019
15502,194.34,27-09-2018
16747,196.8,28-11-2019
16789,196.8,19-12-2019
16115,196.8,1/4/2019
13781,203.7,22-04-2016
16503,209.1,1/9/2019
16646,209.1,1/11/2019
14837,215.25,2/1/2018
13670,216.48,11/2/2016
16505,221.4,1/9/2019
16567,221.4,11/10/2019
16591,221.4,25-10-2019
16648,221.4,1/11/2019
16653,221.4,20-11-2019
16656,221.4,20-11-2019
16657,221.4,20-11-2019
16658,221.4,20-11-2019
16664,221.4,20-11-2019
16666,221.4,20-11-2019
16668,221.4,20-11-2019
16671,221.4,20-11-2019
16678,221.4,20-11-2019
16681,221.4,20-11-2019
16682,221.4,20-11-2019
16683,221.4,20-11-2019
16685,221.4,20-11-2019
16686,221.4,20-11-2019
16689,221.4,20-11-2019
16691,221.4,20-11-2019
16692,221.4,20-11-2019
16697,221.4,20-11-2019
16698,221.4,20-11-2019
16699,221.4,20-11-2019
16701,221.4,20-11-2019
16704,221.4,20-11-2019
16711,221.4,20-11-2019
16713,221.4,20-11-2019
16718,221.4,20-11-2019
16719,221.4,20-11-2019
16723,221.4,20-11-2019
16725,221.4,20-11-2019
16729,221.4,20-11-2019
16734,221.4,20-11-2019
16735,221.4,20-11-2019
16736,221.4,20-11-2019
16737,221.4,20-11-2019
16739,221.4,20-11-2019
16767,221.4,6/12/2019
16768,221.4,6/12/2019
16769,221.4,6/12/2019
16791,221.4,19-12-2019
16695,221.4,20-11-2019
16694,221.4,20-11-2019
16727,221.4,20-11-2019
16700,221.4,20-11-2019
16766,221.4,6/12/2019
16514,221.4,16-09-2019
16731,221.4,20-11-2019
16233,221.4,12/5/2019
16674,221.4,20-11-2019
16732,221.4,20-11-2019
16787,221.4,2/10/2019
13542,221.4,6/1/2016
14543,221.4,5/7/2017
15493,221.4,19-09-2018
15896,221.4,4/1/2019
16107,221.4,29-03-2019
16617,221.4,7/11/2019
16651,221.4,20-11-2019
16660,221.4,20-11-2019
16714,221.4,20-11-2019
14971,221.4,10/1/2018
15897,221.4,4/1/2019
16379,221.4,20-08-2019
16721,221.4,20-11-2019
16728,221.4,20-11-2019
16104,225.08,24-03-2019
15264,227.55,30-06-2018
14838,233.7,2/1/2018
14246,235.24,28-02-2017
16302,239.85,1/7/2019
16499,239.85,1/9/2019
16642,239.85,1/11/2019
16647,246,1/11/2019
16765,246,6/12/2019
14103,246,6/1/2017
14795,246,2/1/2018
15888,246,4/1/2019
16754,258.3,28-11-2019
13298,258.3,11/2/2015
16625,270.6,8/11/2019
16192,270.6,3/5/2019
13787,270.6,1/5/2016
16649,280.44,1/11/2019
16071,282.7,4/3/2019
15853,289.05,4/1/2019
14149,289.6,18-01-2017
16372,295.2,12/8/2019
16539,295.2,18-09-2019
13987,295.2,17-10-2016
14708,295.2,26-06-2017
15559,300,30-10-2018
16090,301.35,16-03-2019
15887,307.5,4/1/2019
15891,307.5,4/1/2019
16156,319.8,26-04-2019
15954,320.52,4/1/2019
15414,321.03,30-06-2018
15059,323.94,28-02-2018
16491,329.64,1/9/2019
16634,329.64,1/11/2019
16305,332.1,1/7/2019
16502,332.1,1/9/2019
16645,332.1,1/11/2019
14979,332.1,17-01-2018
16568,344.4,11/10/2019
13440,344.4,14-09-2015
13367,344.4,19-04-2015
13145,350,4/9/2016
16553,356.7,4/10/2019
15947,365.05,4/1/2019
16608,369,1/11/2019
15422,383.13,24-07-2018
16772,393.6,10/12/2019
16631,395.65,1/11/2019
16136,420.84,10/4/2019
16186,421.38,2/5/2019
15920,429.23,4/1/2019
16277,442.8,30-04-2019
16356,442.8,1/7/2019
16785,442.8,18-12-2019
14626,442.8,21-09-2017
14680,442.8,8/10/2017
15300,442.8,1/7/2018
16577,442.8,21-10-2019
16139,462.3,15-04-2019
16482,471.09,2/9/2019
16376,479.7,20-08-2019
13089,480,3/3/2016
16632,489.95,1/11/2019
15936,511.68,4/1/2019
16551,519.68,4/10/2019
16147,522.3,16-04-2019
14577,535.05,7/1/2017
15301,553.5,1/7/2018
15534,553.5,15-10-2018
16272,590.4,30-04-2019
16615,590.4,5/11/2019
15298,590.4,1/7/2018
16144,590.4,16-04-2019
16555,591.63,8/10/2019
16590,591.63,25-10-2019
16741,591.63,20-11-2019
16351,591.63,11/7/2019
3546,591.63,00-01-1900
16763,591.63,28-11-2019
16279,591.63,24-06-2019
16497,599.67,1/9/2019
16148,602.7,23-04-2019
16345,602.7,8/6/2019
16023,602.7,26-02-2019
13891,615,23-08-2016
16146,617.87,16-04-2019
16269,621.15,18-06-2019
14964,627.3,15-02-2018
15254,637.78,15-06-2018
16640,645.95,1/11/2019
15539,676.5,15-10-2018
13078,688.8,25-02-2016
16554,701.1,8/10/2019
13056,701.1,20-02-2016
13285,701.1,4/2/2015
13266,725.7,16-01-2015
13745,725.7,6/4/2016
14003,725.7,25-10-2016
13680,762.6,16-02-2016
3640,765,00-01-1900
16153,767.52,24-04-2019
15912,767.52,4/1/2019
15915,767.52,4/1/2019
16072,767.52,4/3/2019
3611,790,00-01-1900
16619,799.5,7/11/2019
14973,799.5,10/1/2018
14235,811.8,21-02-2017
16592,831.48,30-10-2019
14145,848.7,16-01-2017
14244,848.7,26-02-2017
16574,848.7,18-10-2019
3568,861,00-01-1900
16031,881.05,28-02-2019
16624,885.6,8/11/2019
15901,885.6,4/1/2019
16773,916.35,10/12/2019
15977,971.7,21-01-2019
16187,971.7,3/5/2019
13616,971.7,29-01-2016
14975,971.7,10/1/2018
16116,984,1/4/2019
16529,996.3,27-09-2019
16579,996.3,21-10-2019
16102,"1,000.00",24-03-2019
16745,"1,000.00",4/9/2019
16259,"1,001.22",12/6/2019
15962,"1,023.36",4/1/2019
16484,"1,033.20",2/9/2019
16020,"1,045.50",23-02-2019
16123,"1,046.36",1/4/2019
16774,"1,050.42",10/12/2019
13711,"1,063.95",3/3/2016
13505,"1,082.40",10/11/2015
15169,"1,082.70",23-04-2018
13203,"1,107.00",22-09-2016
15971,"1,143.90",8/1/2019
14969,"1,151.65",8/1/2018
16339,"1,170.00",1/1/2019
16753,"1,180.80",28-11-2019
13833,"1,217.70",2/6/2016
14409,"1,217.70",20-06-2017
14628,"1,217.70",24-09-2017
16340,"1,217.70",30-06-2019
16286,"1,217.70",25-06-2019
16382,"1,217.70",1/9/2019
16613,"1,228.30",5/11/2019
15028,"1,230.00",19-02-2018
15027,"1,242.30",16-02-2018
13375,"1,254.60",15-05-2015
16600,"1,303.80",1/11/2019
16033,"1,323.48",28-02-2019
15984,"1,328.40",21-01-2019
15435,"1,331.20",14-08-2018
14172,"1,343.78",31-01-2017
16544,"1,347.38",3/10/2019
16150,"1,414.50",23-04-2019
16015,"1,437.03",18-02-2019
13720,"1,439.10",11/3/2016
16623,"1,452.94",1/9/2019
15141,"1,463.70",5/4/2018
16333,"1,477.50",1/7/2019
15634,"1,481.70",7/12/2018
16124,"1,506.28",1/4/2019
16572,"1,509.00",15-10-2019
16190,"1,549.80",3/5/2019
16349,"1,586.70",11/7/2019
14231,"1,595.22",20-02-2017
16106,"1,599.00",29-03-2019
16189,"1,602.03",3/5/2019
16342,"1,660.50",30-06-2019
16559,"1,722.00",10/10/2019
16560,"1,722.00",10/10/2019
16365,"1,770.12",7/8/2019
16589,"1,797.63",25-10-2019
16620,"1,832.70",7/11/2019
14974,"1,832.70",10/1/2018
16595,"1,876.00",30-10-2019
16193,"2,027.04",8/5/2019
16755,"2,054.10",28-11-2019
16761,"2,118.06",28-11-2019
16105,"2,140.09",29-03-2019
15638,"2,164.80",7/12/2018
16362,"2,300.00",31-07-2019
16749,"2,312.40",28-11-2019
16571,"2,386.20",15-10-2019
16762,"2,447.70",28-11-2019
13467,"2,447.70",30-06-2015
13347,"2,472.30",28-02-2015
16616,"2,816.70",5/11/2019
16347,"2,853.60",1/4/2019
16367,"2,853.60",1/8/2019
16157,"3,751.50",26-04-2019
16097,"3,886.80",28-02-2018
15640,"5,369.25",7/12/2018
13391,"5,747.18",19-06-2015
14600,"6,168.59",14-09-2017
16130,"7,427.36",4/4/2019
